NetID,transmission.route,T_ad,T_dh,T_sim,Prob
12,Phys,0.010419338291869711,0.010104983571884997,0.01,0.44
13,Phys,0.012754017515517389,0.012263338808083701,0.01,0.372
14,Phys,0.01326576636332281,0.012649558934010754,0.01,0.316
15,Phys,0.01530690341343946,0.014553551147496195,0.01,0.168
16,Phys,NA,1.055907687903489,0.5,0.108
17,Phys,0.5599626691553897,0.4593099220369024,NA,1.0
18,Phys,NA,0.47650316897030626,NA,0.9
19,Phys,0.19363762102351312,0.17208018334622846,0.52,0.96
20,Phys,NA,NA,NA,1.0
21,Phys,NA,0.0,NA,1.0
22,Phys,0.2689376961004034,0.2099333131983902,0.65,0.868
23,Phys,0.5866666666666667,0.42123840761892073,0.55,0.864
24,Phys,0.3325272067714632,0.2934629620363412,0.45,0.884
25,Phys,0.21012416427889208,0.16494223053794108,0.26,0.776
26,Phys,0.04509120721459316,0.03665973627549114,0.03,0.244
27,Phys,0.07464079119238663,0.06858670688449463,0.06999999999999999,0.616
28,Phys,0.08062742798504728,0.07161936960219406,0.09,0.672
29,Phys,NA,1.0993026506430486,NA,0.172
30,Phys,0.04085175917887965,0.026103916756026076,0.04,0.24
31,Phys,1.1363636363636365,0.5820955439582498,0.25,0.116
32,Phys,NA,1.0086974507244393,NA,0.892
33,Phys,0.4999999999999999,0.2746566791510612,0.51,0.524
34,Phys,NA,NA,NA,0.28
35,Phys,NA,NA,NA,0.848
36,Phys,0.03270966897814994,0.030830356649715306,0.06999999999999999,0.54
37,Phys,0.03001773775412744,0.028853255125969653,0.02,0.164
38,Phys,0.22760190357955723,0.17394055810566986,0.35000000000000003,0.836
39,Phys,0.12941176470588237,0.1272620990330516,0.22,0.9
40,Phys,0.22000000000000003,0.1893450382993373,0.29000000000000004,0.836
41,Phys,0.2333474756045821,0.18035686636444012,0.22,0.624
42,Phys,0.14769230769230768,0.13290347051014603,0.19,0.832
43,Phys,0.10864197530864199,0.10457290141200122,0.15000000000000002,0.832
44,Phys,0.08160237388724036,0.07909919877795513,0.09999999999999999,0.64
45,Phys,0.2505742326164126,0.21701614915920925,0.26,0.848
46,Phys,0.14506132137676384,0.10567962178262592,0.12,0.5
47,Phys,0.1627218934911243,0.13735043670230226,0.15000000000000002,0.548
48,Phys,0.2333474756045821,0.23130371627136675,NA,1.0
49,Phys,0.125,0.11746103456065053,NA,1.0
50,Phys,0.1459380574023026,0.13701336523394245,0.32,0.888
51,Phys,0.16018639871850882,0.13860847800420706,0.24000000000000002,0.848
52,Phys,0.31428571428571433,0.29806708014692607,NA,1.0
53,Phys,0.1443001443001443,0.11040253904435664,0.31,0.776
54,Phys,0.1,0.09458568603284703,0.14,0.832
55,Phys,0.08744733285634788,0.08320825319093421,0.12,0.812
56,Phys,0.07601672367920942,0.06937706359670244,0.08,0.656
57,Phys,0.14723597911926115,0.11461118082184635,0.2,0.752
58,Phys,NA,NA,NA,0.124
1,Nonphys,NA,0.27042987818992925,NA,0.788
2,Nonphys,0.615595075239398,0.4885519477255149,0.76,0.936
3,Nonphys,0.8800000000000001,0.4923903312444047,NA,1.0
4,Nonphys,NA,0.6304728546409806,NA,1.0
5,Nonphys,0.41601664066562666,0.37728731645683583,NA,0.992
6,Nonphys,0.07488953793155097,0.07340801488581361,0.12,0.86
7,Nonphys,0.09706167828465544,0.0889290856306604,0.09999999999999999,0.628
8,Nonphys,0.08461538461538462,0.07574639712753924,0.09,0.6
9,Nonphys,0.1434720229555237,0.12470521703438969,0.15000000000000002,0.588
10,Nonphys,0.09999999999999999,0.08919535498035987,0.09,0.532
11,Nonphys,0.1316261816441307,0.11522954067749894,0.14,0.612
12,Nonphys,0.10909090909090909,0.09359340166518261,0.09999999999999999,0.596
13,Nonphys,0.13414634146341467,0.11615761624370147,0.13,0.576
14,Nonphys,0.10248765489611479,0.08831928992777223,0.11,0.604
15,Nonphys,0.11301756909483202,0.09943379175166701,0.09999999999999999,0.54
16,Nonphys,0.10122388883776572,0.0921229412362453,0.09999999999999999,0.552
17,Nonphys,0.0963728754161556,0.08724581161452248,0.09999999999999999,0.6
18,Nonphys,0.1178613521911497,0.10094504573664134,0.11,0.548
19,Nonphys,0.10057602633263237,0.052716804376991076,0.05,0.104
20,Nonphys,0.15031566289207338,0.09092568408664599,0.06999999999999999,0.132
21,Nonphys,0.36328408815693874,0.25718175925962145,0.13,0.132
22,Nonphys,0.041708664975148586,0.04062320290594286,0.04,0.512
23,Nonphys,0.03809523809523809,0.03736630766267997,0.04,0.56
24,Nonphys,0.04272591326639607,0.04171843162506688,0.04,0.456
25,Nonphys,0.11333195961261078,0.09833628755806399,0.16,0.764
26,Nonphys,0.11458333333333334,0.09713590696279512,0.060000000000000005,0.104
27,Nonphys,0.16098346260793212,0.1498672296673072,0.26,0.912
28,Nonphys,0.3666666666666667,0.3102524326611198,0.48000000000000004,0.904
29,Nonphys,NA,0.7269603007143758,NA,0.864
